Price,District,City,Town,Type,EnergyCertificate,TotalArea,Parking,HasParking,ConstructionYear,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms
424000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,132.0,3.0,True,2023.0,0,True,0,2.0,2.0,0.4000000000000021,132.0,1.0
630700.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,232.0,3.0,True,2023.0,0,True,0,2.9999999999999996,2.7999999999999994,0.0,232.0,1.0
434600.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,133.0,3.0,True,2023.0,0,True,0,2.0,2.0,0.4,133.0,1.0
445200.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,146.0,3.0,True,2023.0,0,True,0,2.0,2.0,0.0,146.0,1.0
445200.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,132.0,3.0,True,2023.0,0,True,0,2.0,2.0,0.4000000000000021,132.0,1.0
609500.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,209.0,3.0,True,2023.0,0,True,0,2.9999999999999996,3.0,0.0,209.0,1.0
455800.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,145.0,3.0,True,2023.0,0,True,0,2.0,2.0,0.0,145.0,1.0
455800.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,145.0,3.0,True,2023.0,0,True,0,2.0,2.0,0.0,145.0,1.0
620100.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,218.0,3.0,True,2023.0,0,True,0,2.9999999999999996,2.7999999999999994,0.0,218.0,1.0
418700.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,147.0,3.0,True,2023.0,0,True,0,2.0,2.0,0.0,147.0,1.0
285000.0,Faro,Loulé,Almancil,Apartment,A,102.0,3.0,True,2023.0,0,True,0,2.0,2.1999999999999997,0.599999999999998,102.0,0.0
413400.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A+,146.0,3.0,True,2023.0,0,True,0,2.0,2.0,0.0,146.0,1.0
235000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,D,105.0,0.0,False,1990.0,0,False,0,1.0,2.0,0.4000000000000021,95.0,2.0
650000.0,Faro,Loulé,Quarteira,Apartment,NC,103.0,1.0,True,2023.0,0,True,0,2.0,2.4,0.4,103.0,3.0
8000.0,Faro,Loulé,Quarteira,Apartment,NC,87.0,0.0,False,2000.0,0,True,0,1.0,1.2,0.20000000000000207,70.0,1.0
265000.0,Faro,Loulé,Quarteira,Apartment,B-,59.0,1.0,True,1988.0,0,False,0,1.0,0.7999999999999999,0.19999999999999796,59.0,1.0
338000.0,Faro,Portimão,Portimão,Apartment,C,90.0,1.0,True,2004.0,0,True,0,2.0,2.4,0.4,90.0,2.0
262500.0,Faro,Portimão,Portimão,Apartment,A,88.0,1.0,True,2023.0,0,True,0,2.0,2.0,0.6,88.0,2.0
352500.0,Faro,Portimão,Portimão,Apartment,A,88.0,1.0,True,2023.0,0,True,0,2.9999999999999996,2.0,0.0,88.0,2.0
362500.0,Faro,Portimão,Portimão,Apartment,A,114.0,1.0,True,2023.0,0,True,0,2.9999999999999996,2.0,1.0,114.0,2.0
367500.0,Faro,Portimão,Portimão,Apartment,A,114.0,1.0,True,2023.0,0,True,0,2.9999999999999996,2.0,1.0,114.0,2.0
372500.0,Faro,Portimão,Portimão,Apartment,A,114.0,1.0,True,2023.0,0,True,0,2.9999999999999996,2.0,1.0,114.0,2.0
287500.0,Faro,Portimão,Portimão,Apartment,A,99.0,1.0,True,2023.0,0,True,0,2.0,2.4,0.4,99.0,2.0
377500.0,Faro,Portimão,Portimão,Apartment,A,114.0,1.0,True,2023.0,0,True,0,2.9999999999999996,2.0,1.0,114.0,2.0
382500.0,Faro,Portimão,Portimão,Apartment,A,114.0,1.0,True,2023.0,0,True,0,2.9999999999999996,2.0,1.0,114.0,2.0
297500.0,Faro,Portimão,Portimão,Apartment,A,99.0,1.0,True,2023.0,0,True,0,2.0,2.4,0.4,99.0,2.0
